Scheme Name	Asset Value
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1155.1703
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1311.7261
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1148.5125
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1170.8722
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1125.4326
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1126.4821
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1234.8936
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1127.801
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1143.9291
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1107.7628
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.3952
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.5323
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.6663
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	15.0408
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.5289
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.8702
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.1422
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.9368
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.8742
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.2959
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.2852
UTI Banking & PSU Fund- Regular Plan - Growth Option	22.2735
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	116.1744
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	114.1862
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.8192
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.8206
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.1463
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.618
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2348
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2517
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.3337
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3701
Axis Corporate Bond Fund - Direct Plan Growth	18.3728
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2347
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.2406
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.3941
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2517
Axis Corporate Bond Fund - Regular Plan Growth	17.3360
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.6581
BANDHAN Corporate Bond Fund - Direct Growth	20.0836
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.9784
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3860
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.3241
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.6854
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.6345
BANDHAN Corporate Bond Fund - Regular Growth	19.4892
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.3263
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6355
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13.1383
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.7150
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.6325
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	32.3157
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.4529
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.5661
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11.8869
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	29.6554
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.6302
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.7884
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.5572
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	27.9205
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.4945
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.5871
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.5410
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.5358
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	21.9382
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.6994
DSP Corporate Bond Fund - Direct - Growth	16.513
DSP Corporate Bond Fund - Direct - IDCW	11.6771
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.614
DSP Corporate Bond Fund - Direct - IDCW - Quarterly	11.4679
DSP Corporate Bond Fund - Regular - Growth	16.2204
DSP Corporate Bond Fund - Regular - IDCW	11.6403
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.5893
DSP Corporate Bond Fund - Regular - IDCW - Quarterly	10.8091
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	109.6579
Franklin India Corporate Debt Fund - Growth	101.1267
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.2635
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.4095
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.7324
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.1968
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.6801
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.4990
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.3187
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.0282
HDFC Corporate Bond Fund - Growth Option	32.931
